ID,DATA,SENTIMENT
8.02E+17,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",4
8.02E+17,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",4
8.02E+17,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Th… https://t.co/RY9mGGjrXm",4
8.01E+17,Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,2
8.01E+17,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,4
8.01E+17,The meeting with the @nytimes is back on at 12:30 today. Look forward to it!,4
8.01E+17,"'Jeff Sessions, a Fitting Selection for Attorney General'
https://t.co/LjKTkAZSFy",4
8.01E+17,"'President-elect Donald J. Trump's CIA Director Garners Praise'
https://t.co/UFdLWtwBEQ https://t.co/MrPaG7OziQ",4
8.01E+17,Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.,4
8.01E+17,The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?,0
8.01E+17,Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!,0
8.01E+17,I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice,0
8.01E+17,Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,4
8.01E+17,Prior to the election it was well known that I have interests in properties all over the world.Only the crooked media makes this a big deal!,0
8.01E+17,.@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,4
8.00E+17,I have always had a good relationship with Chuck Schumer. He is far smarter than Harry R and has the ability to get things done. Good news!,4
8.00E+17,"General James ""Mad Dog"" Mattis, who is being considered for Secretary of Defense, was very impressive yesterday. A true General's General!",4
8.00E+17,"I watched parts of @nbcsnl Saturday Night Live last night. It is a totally one-sided, biased show - nothing funny at all. Equal time for us?",0
8.00E+17,Numerous patriots will be coming to Bedminster today as I continue to fill out the various positions necessary to MAKE AMERICA GREAT AGAIN!,4
8.00E+17,"The cast and producers of Hamilton, which I hear is highly overrated, should immediately apologize to Mike Pence for their terrible behavior",0
8.00E+17,"The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man, Mike Pence. Apologize!",0
8.00E+17,"Our wonderful future V.P. Mike Pence was harassed last night at the theater by the cast of Hamilton, cameras blazing.This should not happen!",0
8.00E+17,The ONLY bad thing about winning the Presidency is that I did not have the time to go through a long but winning trial on Trump U. Too bad!,0
8.00E+17,I settled the Trump University lawsuit for a small fraction of the potential award because as President I have to focus on our country.,0
8.00E+17,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,4
7.99E+17,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,4
7.99E+17,"Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico",2
7.99E+17,"My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today. #MAGA",4
7.99E+17,"Australia, New Zealand, and more. I am always available to them. @nytimes is just upset that they looked like fools in their coverage of me.",0
7.99E+17,"I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia, U.K., China, Saudi Arabia, Japan,",0
7.99E+17,"The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also, I have spoken to many foreign leaders.",0
7.99E+17,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",0
7.99E+17,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,4
7.99E+17,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",2
7.99E+17,If the election were based on total popular vote I would have campaigned in  N.Y. Florida and California and won even bigger and more easily,2
7.98E+17,"The debates, especially the second and third, plus speeches and intensity of the large rallies, plus OUR GREAT SUPPORTERS, gave us the win!",4
7.98E+17,I will be interviewed on @60Minutes tonight after the NFL game - 7:00 P.M. Enjoy!,2
7.98E+17,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",0
7.98E+17,"Governor John Kasich of the GREAT, GREAT, GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!",4
7.98E+17,"Jeb Bush, George W and George H.W. all called to express their best wishes on the win. Very nice!",4
